ID,Name,Linux / Mac / Windows terminal usage,Efficient ways to use python,Text processing with basic linux tools,"Cluster usage (SGE, SLURM)","LaTeX, particularly with Overleaf","Version control with git (GitHub, GitLab)",Reference management tools i.e. Zotero
1,anonymous,No,Yes,No,Maybe,No,Yes,Maybe
2,anonymous,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,anonymous,No,Maybe,No,Yes,No,Yes,No
4,anonymous,Yes,Yes,Yes,Maybe,No,Yes,No
5,anonymous,Yes,Yes,Yes,No,No,Yes,Maybe
6,anonymous,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe
7,anonymous,Maybe,Yes,Yes,Maybe,Yes,Yes,Maybe
8,anonymous,Maybe,Yes,Yes,Maybe,Maybe,Maybe,Maybe
9,anonymous,Maybe,No,Yes,Yes,No,Yes,Maybe
10,anonymous,No,Yes,Maybe,Yes,Maybe,Maybe,Maybe
11,anonymous,Maybe,Yes,Maybe,Maybe,Maybe,Yes,Maybe
12,anonymous,Yes,Yes,Yes,No,No,Yes,No
13,anonymous,Maybe,Maybe,Maybe,Yes,Yes,No,Yes
14,anonymous,Maybe,Maybe,Maybe,Yes,Maybe,Maybe,Maybe
15,anonymous,Yes,Maybe,Yes,Yes,No,Yes,Maybe
16,anonymous,Yes,Yes,Maybe,Maybe,Maybe,Yes,Maybe
17,anonymous,Yes,Maybe,Maybe,No,No,Yes,Maybe
18,anonymous,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes
19,anonymous,Yes,Yes,Maybe,Yes,Yes,Yes,Yes
20,anonymous,No,Maybe,Yes,Yes,Yes,Maybe,Yes
21,anonymous,Yes,Yes,No,Yes,No,Yes,Maybe
22,anonymous,Yes,No,Maybe,Maybe,Yes,Yes,No
23,anonymous,No,Yes,No,Yes,No,Maybe,No
24,anonymous,No,Yes,No,Maybe,Maybe,Yes,No
25,anonymous,Yes,Yes,Yes,Yes,Yes,Yes,No
26,anonymous,No,Maybe,No,Maybe,Yes,No,Maybe
27,anonymous,Yes,Yes,Yes,Maybe,Maybe,Maybe,Maybe
28,anonymous,Maybe,No,Maybe,No,Maybe,Yes,No
29,anonymous,Yes,Yes,Yes,Yes,Yes,Yes,Yes
30,anonymous,Yes,Yes,Yes,Yes,Yes,Yes,Yes
31,anonymous,Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe
32,anonymous,Maybe,Yes,Maybe,Maybe,No,Yes,Yes
33,anonymous,No,No,No,Yes,Maybe,No,Maybe
34,anonymous,Yes,Yes,Yes,Maybe,Yes,Yes,Yes
35,anonymous,No,No,No,Yes,No,Yes,Maybe
36,anonymous,Maybe,Yes,No,Maybe,Maybe,Yes,Maybe
